# ----------------------------------------
# thetaxcalc
# مسار الإحالة الناجحة-استكشاف خطوات المستخدمين 1
# 20260607-20260704
# ----------------------------------------

الخطوة,فئة الجهاز,مستخدمون نشطون,معدل الإتمام,مرات العزوف,معدل العزوف
1. أول فتح/زيارة,الإجمالي,269,1,0,0
1. أول فتح/زيارة,desktop,234,1,0,0
1. أول فتح/زيارة,mobile,35,1,0,0
2. بدء جلسة,الإجمالي,271,1,0,0
2. بدء جلسة,desktop,235,1,0,0
2. بدء جلسة,mobile,36,1,0,0
3. مشاهدة صفحة/شاشة,الإجمالي,271,0,271,1
3. مشاهدة صفحة/شاشة,desktop,235,0,235,1
3. مشاهدة صفحة/شاشة,mobile,36,0,36,1
4. شراء,الإجمالي,0,-,-,-
4. شراء,desktop,0,-,-,-
4. شراء,mobile,0,-,-,-

