البلد,النقرات,عدد الظهور,نسبة النقر إلى الظهور,موضع
الولايات المتحدة,39,30676,0.13%,40.64
ليبيا,9,65,13.85%,3.14
بابوا غينيا الجديدة,1,1,100%,9
المملكة المتحدة,0,418,0%,56.65
كندا,0,247,0%,37.76
الهند,0,114,0%,37.32
أستراليا,0,76,0%,54.62
البرازيل,0,75,0%,38.57
ألمانيا,0,71,0%,40.55
هولندا,0,65,0%,20.85
أسبانيا,0,50,0%,43.58
المكسيك,0,46,0%,25.3
الفلبين,0,43,0%,44.98
إيطاليا,0,39,0%,42.97
فرنسا,0,28,0%,19.11
إندونيسيا,0,27,0%,39.7
روسيا,0,26,0%,64.5
بولندا,0,20,0%,59.6
فيتنام,0,18,0%,40.22
اليابان,0,17,0%,26.94
كوريا الجنوبية,0,16,0%,27.25
أيرلندا,0,16,0%,52.25
كولومبيا,0,14,0%,26.5
البرتغال,0,14,0%,41.64
باكستان,0,14,0%,49.64
المملكة العربية السعودية,0,13,0%,36.62
أوكرانيا,0,13,0%,41.77
الأرجنتين,0,11,0%,33.55
النمسا,0,11,0%,37.73
رومانيا,0,11,0%,44.27
هونج كونج,0,10,0%,28.9
اليونان,0,10,0%,31
تايلاند,0,10,0%,48.4
لاتفيا,0,10,0%,67.3
السلفادور,0,9,0%,9.67
بنغلاديش,0,9,0%,21.33
نيوزيلندا,0,9,0%,27.78
بلغاريا,0,9,0%,43.11
إستونيا,0,9,0%,58
مصر,0,9,0%,67.89
قطر,0,8,0%,24.88
سنغافورة,0,8,0%,26.12
ماليزيا,0,8,0%,29.12
سويسرا,0,8,0%,29.75
تايوان,0,8,0%,37.62
إسرائيل,0,8,0%,43.5
التشيك,0,8,0%,60.12
أيسلندا,0,8,0%,63.38
تركيا,0,7,0%,18.71
نيجيريا,0,7,0%,26.43
بيرو,0,7,0%,42
الجزائر,0,7,0%,47.57
ليتوانيا,0,7,0%,50.86
الصين,0,6,0%,6.33
الإمارات العربية المتحدة,0,6,0%,31.5
المغرب,0,6,0%,70.67
أندورا,0,6,0%,71
المجر,0,6,0%,76.5
الإكوادور,0,5,0%,29.2
جورجيا,0,5,0%,49.2
بورتوريكو,0,4,0%,5.75
جمهورية الدومينكان,0,4,0%,21.5
بلجيكا,0,4,0%,23.25
فنزويلا,0,4,0%,26.75
السويد,0,4,0%,27
كينيا,0,4,0%,51.5
ليشتنشتاين,0,4,0%,58.75
لوكسمبورج,0,4,0%,76
غانا,0,3,0%,4.67
جامايكا,0,3,0%,7
إثيوبيا,0,3,0%,7.67
الأردن,0,3,0%,9.33
غواتيمالا,0,3,0%,14.33
تونس,0,3,0%,27.67
كرواتيا,0,3,0%,31.67
تشيلي,0,3,0%,37.67
العراق,0,3,0%,39
سلوفاكيا,0,3,0%,71.67
الكويت,0,2,0%,5.5
لبنان,0,2,0%,6.5
صربيا,0,2,0%,6.5
ترينيداد وتوباغو,0,2,0%,8.5
النرويج,0,2,0%,24.5
كازاخستان,0,2,0%,38
أفغانستان,0,2,0%,51
الكونغو - كينشاسا,0,2,0%,78.5
الدنمارك,0,2,0%,78.5
كوبا,0,1,0%,2
كمبوديا,0,1,0%,2
غويانا,0,1,0%,4
إيران,0,1,0%,4
بتسوانا,0,1,0%,6
جنوب أفريقيا,0,1,0%,6
كوستاريكا,0,1,0%,7
جزر المالديف,0,1,0%,8
أورجواي,0,1,0%,8
الأذربيجانية,0,1,0%,9
غينيا,0,1,0%,9
بنما,0,1,0%,9
باراغواي,0,1,0%,9
جزر سليمان,0,1,0%,9
جزر فيرجن الأمريكية,0,1,0%,9
ماكاو,0,1,0%,10
جزر الباهاما,0,1,0%,11
عُمان,0,1,0%,11
ألبانيا,0,1,0%,12
فنلندا,0,1,0%,12
غرينادا,0,1,0%,12
أنغولا,0,1,0%,59
سريلانكا,0,1,0%,71
سوريا,0,1,0%,71
زيمبابوي,0,1,0%,72
الكاميرون,0,1,0%,74
توجو,0,1,0%,76
مدغشقر,0,1,0%,79
سلوفينيا,0,1,0%,87
تنزانيا,0,1,0%,90
فلسطين,0,1,0%,92
نيبال,0,1,0%,96
