التاريخ,النقرات,عدد الظهور,نسبة النقر إلى الظهور,موضع
2026-06-06,5,786,0.64%,37.9
2026-06-07,0,805,0%,39.1
2026-06-08,3,844,0.36%,35.2
2026-06-09,4,1005,0.4%,41.8
2026-06-10,2,1634,0.12%,58.8
2026-06-11,3,1151,0.26%,55.5
2026-06-12,1,776,0.13%,46.2
2026-06-13,3,860,0.35%,52.7
2026-06-14,0,169,0%,62.7
2026-06-15,0,15,0%,50.6
2026-06-16,0,16,0%,66.2
2026-06-17,0,20,0%,80.7
2026-06-18,0,67,0%,55.4
2026-06-19,3,1006,0.3%,36.4
2026-06-20,2,1154,0.17%,46.2
2026-06-21,2,1029,0.19%,34.4
2026-06-22,0,1298,0%,36.2
2026-06-23,2,1348,0.15%,37
2026-06-24,1,1604,0.06%,39.6
2026-06-25,2,1631,0.12%,33
2026-06-26,0,1439,0%,30.2
2026-06-27,0,1410,0%,34
2026-06-28,1,2351,0.04%,50.2
2026-06-29,4,2631,0.15%,45.5
2026-06-30,2,2440,0.08%,41.4
2026-07-01,5,1861,0.27%,32.6
2026-07-02,1,1708,0.06%,30.5
2026-07-03,3,1542,0.19%,33.4
