URL,Domain,Text,DoFollow,NoFollow,Sponsored,UGC,Target
"https://www.producthunt.com/products/thetaxcalc?launch=thetaxcalc","www.producthunt.com","VOTE NOW","Yes","No","No","No","_blank"
"https://www.irs.gov/filing/federal-income-tax-rates-and-brackets","www.irs.gov","IRS publications","No","Yes","No","No","_blank"
"https://taxfoundation.org/","taxfoundation.org","state revenue departments","No","Yes","No","No","_blank"
"https://www.irs.gov/","www.irs.gov","IRS Official Site","No","Yes","No","No","_blank"
"https://taxfoundation.org/","taxfoundation.org","Tax Foundation","No","Yes","No","No","_blank"
"https://revenue.illinois.gov/","revenue.illinois.gov","IL Revenue Dept","No","Yes","No","No","_blank"
"https://comptroller.texas.gov/","comptroller.texas.gov","TX Comptroller","No","Yes","No","No","_blank"
"https://floridarevenue.com/","floridarevenue.com","FL Revenue Dept","No","Yes","No","No","_blank"
"https://www.ftb.ca.gov/forms","www.ftb.ca.gov","CA FTB","No","Yes","No","No","_blank"
"https://www.tax.ny.gov/","www.tax.ny.gov","NY Tax & Finance","No","Yes","No","No","_blank"
