الوقت (UTC+02:00),النقرات,عدد الظهور,نسبة النقر إلى الظهور,موضع
2026-05-28T15:00:00,0,1,0%,10
2026-05-28T16:00:00,0,1,0%,1
2026-05-28T17:00:00,0,0,0%,0
2026-05-28T18:00:00,1,1,100%,1
2026-05-28T19:00:00,0,0,0%,0
2026-05-28T20:00:00,0,2,0%,28
2026-05-28T21:00:00,0,5,0%,34.8
2026-05-28T22:00:00,0,1,0%,4
2026-05-28T23:00:00,0,1,0%,6
2026-05-29T00:00:00,0,1,0%,88
2026-05-29T01:00:00,0,2,0%,80.5
2026-05-29T02:00:00,0,1,0%,75
2026-05-29T03:00:00,0,1,0%,24
2026-05-29T04:00:00,0,4,0%,41.2
2026-05-29T05:00:00,0,6,0%,23.7
2026-05-29T06:00:00,0,10,0%,72.5
2026-05-29T07:00:00,0,8,0%,50.2
2026-05-29T08:00:00,0,3,0%,44.3
2026-05-29T09:00:00,0,6,0%,50.7
2026-05-29T10:00:00,0,6,0%,67.7
2026-05-29T11:00:00,0,1,0%,11
2026-05-29T12:00:00,0,0,0%,0
2026-05-29T13:00:00,0,0,0%,0
2026-05-29T14:00:00,0,0,0%,0
