Page URL,Page Title,ILR,Raw ILR,Unique Pageviews,Crawl Depth,HTTP Status Code,"Page (HTML) Load Time, sec",Schema.org (Microdata),Schema.org (JSON-LD),Open Graph,Twitter Cards,Microformats,Canonicalization,In sitemap,Incoming Internal Links,Outgoing Internal Links,Outgoing External Links,AMP link,Hreflang Links,Hreflang Issues,JS and CSS Number,"JS and CSS Size, KB",Issues,Description,Blocked AI search bots
https://thetaxcalc.com/salary/100000-after-taxes,"$100,000 After Taxes 2026 — Take-Home Pay by State",100,0.01691240721766275,n/a,1,200,0.163,0,1,1,1,0,Self-canonical,1,78,44,7,0,-,-,18,258,9,"$100,000 after taxes in 2026? in texas, you keep ~$79,180 (0% state tax). see take-home pay by state — tx, ca, ny, fl & more. free calculator.",
https://thetaxcalc.com/salary/50000-after-taxes,"$50,000 After Taxes 2026 — Take-Home Pay by State",100,0.01691240721766275,n/a,1,200,0.177,0,1,1,1,0,Self-canonical,1,78,44,7,0,-,-,18,258,9,"$50,000 after taxes in 2026? in texas, you keep ~$42,355 (0% state tax). see take-home pay by state — tx, ca, ny, fl & more. free calculator.",
https://thetaxcalc.com/salary/75000-after-taxes,"$75,000 After Taxes 2026 — Take-Home Pay by State",100,0.01691240721766275,n/a,1,200,0.191,0,1,1,1,0,Self-canonical,1,78,44,7,0,-,-,18,258,9,"$75,000 after taxes in 2026? in texas, you keep ~$61,593 (0% state tax). see take-home pay by state — tx, ca, ny, fl & more. free calculator.",
https://thetaxcalc.com/,2026 Tax Calculator — Paycheck & Take-Home Pay | 50 States,98,0.010272814669969123,n/a,0,200,0.04,0,1,1,1,0,Self-canonical,0,78,126,9,0,-,-,17,257,12,"free 2026 tax calculator. take-home pay after federal, fica & state tax. 64 tools & 50-state sales tax data. no sign-up.",
https://thetaxcalc.com/sales-tax-calculator,Sales Tax Calculator 2026 — All 50 States + Reverse Tax Tool,95,0.010260004016485372,n/a,1,200,0.04,0,1,1,1,0,Self-canonical,1,77,91,10,0,-,-,20,294,10,"free 2026 sales tax calculator for all 50 us states. combined state + local rates, reverse tax, car sales tax & irs deductions. no sign-up.",
https://thetaxcalc.com/blog,"Tax Blog — 2026 Guides, Tips & News | TheTaxCalc",93,0.010250450339814131,n/a,1,200,0.034,0,1,1,1,0,Self-canonical,1,77,78,7,0,-,-,19,260,11,"expert tax guides, state comparisons, and financial tips updated for 2026. clear explanations and free calculators to help you keep more of your money.",
https://thetaxcalc.com/salary,Salary After Tax 2026 — Take-Home Pay | TheTaxCalc,90,0.010238583793635327,n/a,1,200,0.067,0,1,1,1,0,Self-canonical,1,77,64,7,0,-,-,17,257,9,"see your take-home pay for every salary from $30k to $500k. compare after-tax income across illinois, texas, florida, california, and new york for 2026.",
https://thetaxcalc.com/california-tax-calculator,"California Tax Calculator 2026: Tax Amount in CA — $75K = $54,849",88,0.010236498350461707,n/a,1,200,0.061,0,1,1,1,0,Self-canonical,1,77,60,9,0,-,-,21,307,9,"ca charges up to 13.3% state tax. on $75k salary, you take home ~$54,849. calculate your exact california take-home pay after state, federal & fica tax. free 2026 calculator, no sign-up.",
https://thetaxcalc.com/florida-tax-calculator,"Florida Tax Calculator 2026: 0% Tax — $75K = $61,592 Take-Home",88,0.010236498350461707,n/a,1,200,0.163,0,1,1,1,0,Self-canonical,1,77,60,9,0,-,-,21,307,9,"florida has 0% state income tax. on $75k salary, you keep $61,592 after federal & fica. calculate your exact fl take-home pay. free 2026 calculator, no sign-up.",
https://thetaxcalc.com/georgia-tax-calculator,"Georgia Tax Calculator 2026 — 5.49% Flat | $75K = $60,083",88,0.010236498350461707,n/a,1,200,0.062,0,1,1,1,0,Self-canonical,1,77,60,9,0,-,-,21,307,9,"ga flat 5.49% income tax. on $75k salary you keep ~$60,083. calculate your exact georgia 2026 take-home pay after state, federal & fica. free, no sign-up.",
https://thetaxcalc.com/new-york-tax-calculator,"New York Tax Calculator 2026: NYC Tax — $75K = $55,413 Take-Home",88,0.010236498350461707,n/a,1,200,0.056,0,1,1,1,0,Self-canonical,1,77,60,9,0,-,-,21,307,9,"ny charges up to 10.9% + nyc tax. on $75k salary, you take home ~$55,413. calculate your exact ny take-home pay after state, federal & fica tax. free 2026 calculator, no sign-up.",
https://thetaxcalc.com/texas-tax-calculator,Texas Tax Calculator 2026: No Income Tax in Texas — $75K Take-Home,88,0.010236498350461707,n/a,1,200,0.033,0,1,1,1,0,Self-canonical,1,77,60,9,0,-,-,21,307,9,"texas has 0% state income tax. on $75k, keep $61,592. calculate your exact tx take-home pay. free 2026 calculator, no sign-up.",
https://thetaxcalc.com/virginia-tax-calculator,VA Tax Calculator 2026 | 2-5.75% Rate,88,0.010236498350461707,n/a,1,200,0.071,0,1,1,1,0,Self-canonical,1,77,60,9,0,-,-,21,307,9,"calculate 2026 virginia take-home after 2%-5.75% state tax, federal & fica. see real numbers instantly. no sign-up.",
https://thetaxcalc.com/methodology,Methodology & Data Sources — How TheTaxCalc Computes Your Taxes | TheTaxCalc,86,0.010230718993677605,n/a,1,200,0.139,0,1,1,1,0,Self-canonical,1,77,41,23,0,-,-,17,257,25,"learn how thetaxcalc computes federal, state, and fica taxes for 2026. every calculation is based on official irs publications, ssa data, and state revenue department sources.",
