Page URL,Structured data,Field,Issue description,Discovered
https://thetaxcalc.com/,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/arizona-tax-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/bonus-tax-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/california-tax-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/capital-gains-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/employee-cost-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/florida-tax-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/georgia-tax-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/indiana-tax-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/job-offer-comparison-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/lottery-tax-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/maryland-tax-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/massachusetts-tax-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/missouri-tax-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/mortgage-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/new-jersey-tax-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/new-york-tax-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/north-carolina-tax-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/ohio-tax-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/oregon-tax-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/overtime-tax-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/paycheck-difference-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/pennsylvania-tax-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/property-tax-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/relocation-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/salary-comparison-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/salary/100000-after-taxes,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/salary/150000-after-taxes,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/salary/50000-after-taxes,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/salary/75000-after-taxes,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/sales-tax-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/self-employment-tax-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/texas-tax-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/virginia-tax-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/washington-tax-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/wisconsin-tax-calculator,Software App,aggregateRating or review,A value for the aggregateRating or review field is required.,02 Jul 2026 (12:10 UTC)
