Page URL,Ratio,Discovered
https://thetaxcalc.com/,0.03,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/about,0.09,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/arizona-tax-calculator,0.06,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/blog,0.07,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/blog/1099-tax-guide-self-employed-2026,0.07,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/blog/2026-federal-tax-brackets-explained,0.09,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/blog/401k-withdrawal-tax-guide-2026,0.09,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/blog/401k-withdrawal-tax-questions-2026,0.08,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/blog/florida-vs-texas-tax-comparison,0.09,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/blog/free-tax-calculator-no-signup-2026,0.07,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/blog/hourly-wage-after-tax-questions-2026,0.07,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/blog/how-fica-taxes-work-2026,0.09,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/blog/how-much-tax-will-i-owe-2026,0.07,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/blog/illinois-income-tax-guide-2026,0.09,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/blog/inheritance-tax-questions-2026,0.07,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/blog/retirement-tax-planning-guide-2026,0.09,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/blog/social-security-tax-questions-2026,0.07,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/blog/tax-questions-answered-2026,0.07,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/blog/tax-refund-questions-2026,0.07,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/blog/what-is-taxable-income-guide-2026,0.08,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/blog/why-texas-has-no-income-tax,0.10,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/bonus-tax-calculator,0.07,18 Jun 2026 (17:26 UTC)
https://thetaxcalc.com/california-tax-calculator,0.05,02 Jul 2026 (12:10 UTC)
https://thetaxcalc.com/capital-gains-calculator,0.06,18 Jun 2026 (17:26 UTC)
